"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Mar 26 2019","2458568.4999537035","575251201","1331.7","1.80e-7","1.20e-8","-1.74","-","139.59","1e-8","0","bin130.log"
"Apr 25 2019","2458598.4999537035","577843201","1090.53","1.33e-7","1.00e-8","-1.74","-","127.95","1e-8","0","bin131.log"
"May 25 2019","2458628.4999537035","580435201","733.68","9.75e-8","8.10e-9","-1.74","-","103.37","1e-8","0","bin132.log"
"Jun 24 2019","2458658.4999537035","583027201","967.8","1.45e-7","1.10e-8","-1.74","-","73.77","1e-8","0","bin133.log"
"Jul 24 2019","2458688.4999537035","585619201","641.07","1.27e-7","1.10e-8","-1.74","-","45.25","1e-8","0","bin134.log"
"Aug 23 2019","2458718.4999537035","588211201","569.35","1.60e-7","1.50e-8","-1.74","-","28.59","1e-8","0","bin135.log"
"Sep 22 2019","2458748.4999537035","590803201","1283.85","1.82e-7","1.20e-8","-1.74","-","39.38","1e-8","0","bin136.log"
"Oct 22 2019","2458778.4999537035","593395201","963.09","1.53e-7","1.20e-8","-1.74","-","62.36","1e-8","0","bin137.log"
"Nov 21 2019","2458808.4999537035","595987201","1130.91","1.33e-7","9.00e-9","-1.74","-","84.98","1e-8","0","bin138.log"
"Dec 21 2019","2458838.4999537035","598579201","1401.23","1.99e-7","1.20e-8","-1.74","-","103.26","1e-8","0","bin139.log"
"Jan 20 2020","2458868.4999537035","601171201","1149.42","1.71e-7","1.20e-8","-1.74","-","118.02","1e-8","0","bin140.log"
"Feb 19 2020","2458898.4999537035","603763201","373.52","1.38e-7","1.70e-8","-1.74","-","131.78","1e-8","0","bin141.log"
"Mar 20 2020","2458928.4999537035","606355201","1245.56","1.87e-7","1.30e-8","-1.74","-","139.71","1e-8","0","bin142.log"
"Apr 19 2020","2458958.4999537035","608947201","1393.58","1.56e-7","1.00e-8","-1.74","-","131.19","1e-8","0","bin143.log"
"May 19 2020","2458988.4999537035","611539201","953.41","1.42e-7","1.00e-8","-1.74","-","108.21","1e-8","0","bin144.log"
"Jun 18 2020","2459018.4999537035","614131201","1358.34","1.71e-7","1.10e-8","-1.74","-","79.04","1e-8","0","bin145.log"
"Jul 18 2020","2459048.4999537035","616723201","936.92","1.79e-7","1.30e-8","-1.74","-","49.84","1e-8","0","bin146.log"
"Aug 17 2020","2459078.4999537035","619315201","1207.21","2.17e-7","1.40e-8","-1.74","-","29.70","1e-8","0","bin147.log"
"Sep 16 2020","2459108.4999537035","621907201","946.63","2.01e-7","1.60e-8","-1.74","-","35.98","1e-8","0","bin148.log"
"Oct 16 2020","2459138.4999537035","624499201","2006.86","2.33e-7","1.30e-8","-1.74","-","58.19","1e-8","0","bin149.log"
"Nov 15 2020","2459168.4999537035","627091201","1409.9","1.54e-7","1.00e-8","-1.74","-","81.28","1e-8","0","bin150.log"
"Dec 15 2020","2459198.4999537035","629683201","1174.44","1.72e-7","1.20e-8","-1.74","-","100.41","1e-8","0","bin151.log"
"Jan 14 2021","2459228.4999537035","632275201","410.6","8.64e-8","9.60e-9","-1.74","-","115.54","1e-8","0","bin152.log"
"Feb 13 2021","2459258.4999537035","634867201","227.17","7.86e-8","1.21e-8","-1.74","-","129.52","1e-8","0","bin153.log"
"Mar 15 2021","2459288.4999537035","637459201","660.71","1.29e-7","1.20e-8","-1.74","-","139.27","1e-8","0","bin154.log"
"Apr 14 2021","2459318.4999537035","640051201","1220.85","1.55e-7","1.00e-8","-1.74","-","133.98","1e-8","0","bin155.log"
"May 14 2021","2459348.4999537035","642643201","762.27","1.33e-7","1.10e-8","-1.74","-","112.86","1e-8","0","bin156.log"
"Jun 13 2021","2459378.4999537035","645235201","1230.01","1.47e-7","1.00e-8","-1.74","-","84.31","1e-8","0","bin157.log"
"Jul 13 2021","2459408.4999537035","647827201","607.87","1.11e-7","1.10e-8","-1.74","-","54.65","1e-8","0","bin158.log"
"Aug 12 2021","2459438.4999537035","650419201","495.91","1.01e-7","1.03e-8","-1.74","-","31.76","1e-8","0","bin159.log"
"Sep 11 2021","2459468.4999537035","653011201","562.82","1.40e-7","1.30e-8","-1.74","-","33.03","1e-8","0","bin160.log"
"Oct 11 2021","2459498.4999537035","655603201","835.33","1.26e-7","1.00e-8","-1.74","-","54.03","1e-8","0","bin161.log"
"Nov 10 2021","2459528.4999537035","658195201","1185.17","1.41e-7","1.00e-8","-1.74","-","77.45","1e-8","0","bin162.log"
"Dec 10 2021","2459558.4999537035","660787201","801.56","1.30e-7","1.00e-8","-1.74","-","97.42","1e-8","0","bin163.log"
"Jan 09 2022","2459588.4999537035","663379201","733.84","1.47e-7","1.30e-8","-1.74","-","113.03","1e-8","0","bin164.log"
"Feb 08 2022","2459618.4999537035","665971201","383.94","1.08e-7","1.25e-8","-1.74","-","127.16","1e-8","0","bin165.log"
"Mar 10 2022","2459648.4999537035","668563201","672.19","1.48e-7","1.30e-8","-1.74","-","138.34","1e-8","0","bin166.log"
"Apr 09 2022","2459678.4999537035","671155201","588.9","9.64e-8","9.20e-9","-1.74","-","136.27","1e-8","0","bin167.log"
"May 09 2022","2459708.4999537035","673747201","1594.43","1.82e-7","1.10e-8","-1.74","-","117.30","1e-8","0","bin168.log"
"Jun 08 2022","2459738.4999537035","676339201","1352.24","1.44e-7","1.00e-8","-1.74","-","89.54","1e-8","0","bin169.log"
"Jul 08 2022","2459768.4999537035","678931201","1642.2","2.48e-7","1.50e-8","-1.74","-","59.65","1e-8","0","bin170.log"
"Aug 07 2022","2459798.4999537035","681523201","853.2","1.88e-7","1.50e-8","-1.74","-","34.63","1e-8","0","bin171.log"
"Sep 06 2022","2459828.4999537035","684115201","613.27","1.43e-7","1.30e-8","-1.74","-","30.67","1e-8","0","bin172.log"
"Oct 06 2022","2459858.4999537035","686707201","1907.38","2.01e-7","1.10e-8","-1.74","-","49.91","1e-8","0","bin173.log"
"Nov 05 2022","2459888.4999537035","689299201","1472.59","1.90e-7","1.20e-8","-1.74","-","73.50","1e-8","0","bin174.log"
"Dec 05 2022","2459918.4999537035","691891201","1771.51","2.04e-7","1.10e-8","-1.74","-","94.29","1e-8","0","bin175.log"
"Jan 04 2023","2459948.4999537035","694483201","1793.77","2.80e-7","1.60e-8","-1.74","-","110.50","1e-8","0","bin176.log"
"Feb 03 2023","2459978.4999537035","697075201","1262.63","2.03e-7","1.40e-8","-1.74","-","124.74","1e-8","0","bin177.log"
"Mar 05 2023","2460008.4999537035","699667201","686.89","1.78e-7","1.50e-8","-1.74","-","136.98","1e-8","0","bin178.log"
"Apr 04 2023","2460038.4999537035","702259201","1215.16","1.82e-7","1.30e-8","-1.74","-","138.00","1e-8","0","bin179.log"
"May 04 2023","2460068.4999537035","704851201","1828.38","2.06e-7","1.10e-8","-1.74","-","121.48","1e-8","0","bin180.log"
"Jun 03 2023","2460098.4999537035","707443201","1260.51","1.66e-7","1.10e-8","-1.74","-","94.70","1e-8","0","bin181.log"
"Jul 03 2023","2460128.4999537035","710035201","1205.59","1.74e-7","1.20e-8","-1.74","-","64.76","1e-8","0","bin182.log"
"Aug 02 2023","2460158.4999537035","712627201","934.44","2.18e-7","1.60e-8","-1.74","-","38.12","1e-8","0","bin183.log"
"Sep 01 2023","2460188.4999537035","715219201","1486.83","2.17e-7","1.30e-8","-1.74","-","29.08","1e-8","0","bin184.log"
"Oct 01 2023","2460218.4999537035","717811201","1568.79","2.32e-7","1.30e-8","-1.74","-","45.90","1e-8","0","bin185.log"
"Oct 31 2023","2460248.4999537035","720403201","1799.46","2.24e-7","1.30e-8","-1.74","-","69.47","1e-8","0","bin186.log"
"Nov 30 2023","2460278.4999537035","722995201","2107.99","2.28e-7","1.20e-8","-1.74","-","91.00","1e-8","0","bin187.log"
"Dec 30 2023","2460308.4999537035","725587201","1534.49","2.29e-7","1.40e-8","-1.74","-","107.91","1e-8","0","bin188.log"
"Jan 29 2024","2460338.4999537035","728179201","1558.47","2.54e-7","1.50e-8","-1.74","-","122.28","1e-8","0","bin189.log"
"Feb 28 2024","2460368.4999537035","730771201","724.28","1.74e-7","1.60e-8","-1.74","-","135.29","1e-8","0","bin190.log"
"Mar 29 2024","2460398.4999537035","733363201","1038.25","1.62e-7","1.20e-8","-1.74","-","139.14","1e-8","0","bin191.log"
"Apr 28 2024","2460428.4999537035","735955201","571.48","8.87e-8","8.00e-9","-1.74","-","125.36","1e-8","0","bin192.log"
"May 28 2024","2460458.4999537035","738547201","1235.57","1.82e-7","1.20e-8","-1.74","-","99.77","1e-8","0","bin193.log"
"Jun 27 2024","2460488.4999537035","741139201","1129.78","1.43e-7","1.00e-8","-1.74","-","69.97","1e-8","0","bin194.log"
"Jul 27 2024","2460518.4999537035","743731201","582.66","1.26e-7","1.20e-8","-1.74","-","42.12","1e-8","0","bin195.log"
"Aug 26 2024","2460548.4999537035","746323201","557.13","1.29e-7","1.20e-8","-1.74","-","28.42","1e-8","0","bin196.log"
"Sep 25 2024","2460578.4999537035","748915201","484.28","9.07e-8","9.80e-9","-1.74","-","42.03","1e-8","0","bin197.log"
"Oct 25 2024","2460608.4999537035","751507201","809.11","1.10e-7","9.00e-9","-1.74","-","65.36","1e-8","0","bin198.log"
"Nov 24 2024","2460638.4999537035","754099201","779.26","1.00e-7","8.40e-9","-1.74","-","87.56","1e-8","0","bin199.log"
"Dec 24 2024","2460668.4999537035","756691201","494.09","1.04e-7","1.09e-8","-1.74","-","105.25","1e-8","0","bin200.log"
"Jan 23 2025","2460698.4999537035","759283201","731.57","1.41e-7","1.20e-8","-1.74","-","119.81","1e-8","0","bin201.log"
