"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Apr 29 2011","2455680.999988426","325771201","19.8","2.13e-8","1.03e-8","-1.54","-","157.42","1e-8","0","bin143.log"
"May 06 2011","2455687.999988426","326376001","43.99","3.88e-8","1.38e-8","-1.54","-","163.89","1e-8","0","bin144.log"
"May 13 2011","2455694.999988426","326980801","47.4","2.71e-8","1.05e-8","-1.54","-","170.14","1e-8","0","bin145.log"
"May 20 2011","2455701.999988426","327585601","8.48","1.18e-8","9.31e-9","-1.54","-","174.93","1e-8","0","bin146.log"
"May 27 2011","2455708.999988426","328190401","41.49","3.47e-8","1.25e-8","-1.54","-","173.03","1e-8","0","bin147.log"
"Jun 03 2011","2455715.999988426","328795201","33.32","3.04e-8","1.14e-8","-1.54","-","166.98","1e-8","0","bin148.log"
"Jun 10 2011","2455722.999988426","329400001","49.93","3.49e-8","1.15e-8","-1.54","-","160.21","1e-8","0","bin149.log"
"Jun 17 2011","2455729.999988426","330004801","89.78","5.52e-8","1.47e-8","-1.54","-","153.21","1e-8","0","bin150.log"
"Jun 24 2011","2455736.999988426","330609601","39.54","2.85e-8","1.20e-8","-1.54","-","146.10","1e-8","0","bin151.log"
"Jul 01 2011","2455743.999988426","331214401","55.25","4.90e-8","1.48e-8","-1.54","-","138.95","1e-8","0","bin152.log"
"Jul 08 2011","2455750.999988426","331819201","40.27","3.82e-8","1.30e-8","-1.54","-","131.80","1e-8","0","bin153.log"
"Jul 15 2011","2455757.999988426","332424001","61.92","4.54e-8","1.33e-8","-1.54","-","124.69","1e-8","0","bin154.log"
"Jul 22 2011","2455764.999988426","333028801","59.84","4.83e-8","1.44e-8","-1.54","-","117.64","1e-8","0","bin155.log"
"Jul 29 2011","2455771.999988426","333633601","33.8","3.83e-8","1.30e-8","-1.54","-","110.68","1e-8","0","bin156.log"
"Aug 05 2011","2455778.999988426","334238401","20.75","1.17e-8","6.40e-9","-1.54","-","103.84","1e-8","0","bin157.log"
"Aug 12 2011","2455785.999988426","334843201","16.75","3.34e-8","1.32e-8","-1.54","-","97.11","1e-8","0","bin158.log"
"Aug 19 2011","2455792.999988426","335448001","29.7","3.76e-8","1.40e-8","-1.54","-","90.52","1e-8","0","bin159.log"
"Aug 26 2011","2455799.999988426","336052801","14.44","2.02e-8","1.07e-8","-1.54","-","84.06","1e-8","0","bin160.log"
"Sep 02 2011","2455806.999988426","336657601","5.99","1.90e-8","1.10e-8","-1.54","-","77.74","1e-8","0","bin161.log"
"Sep 09 2011","2455813.999988426","337262401","45.73","4.84e-8","1.57e-8","-1.54","-","71.54","1e-8","0","bin162.log"
"Sep 16 2011","2455820.999988426","337867201","38.24","3.96e-8","1.38e-8","-1.54","-","65.45","1e-8","0","bin163.log"
"Sep 23 2011","2455827.999988426","338472001","30.2","3.53e-8","1.24e-8","-1.54","-","59.48","1e-8","0","bin164.log"
"Sep 30 2011","2455834.999988426","339076801","47.61","3.10e-8","1.07e-8","-1.54","-","53.60","1e-8","0","bin165.log"
"Oct 07 2011","2455841.999988426","339681601","73.46","7.02e-8","1.74e-8","-1.54","-","47.81","1e-8","0","bin166.log"
"Oct 14 2011","2455848.999988426","340286401","28.27","3.30e-8","1.31e-8","-1.54","-","42.12","1e-8","0","bin167.log"
"Oct 21 2011","2455855.999988426","340891201","79.34","6.32e-8","1.65e-8","-1.54","-","36.52","1e-8","0","bin168.log"
"Oct 28 2011","2455862.999988426","341496001","33.26","3.35e-8","1.27e-8","-1.54","-","31.07","1e-8","0","bin169.log"
"Nov 04 2011","2455869.999988426","342100801","51.94","6.21e-8","1.69e-8","-1.54","-","25.88","1e-8","0","bin170.log"
"Nov 11 2011","2455876.999988426","342705601","118.48","7.54e-8","1.68e-8","-1.54","-","21.21","1e-8","0","bin171.log"
"Nov 18 2011","2455883.999988426","343310401","76.83","4.27e-8","1.21e-8","-1.54","-","17.59","1e-8","0","bin172.log"
"Nov 25 2011","2455890.999988426","343915201","21.28","2.38e-8","1.03e-8","-1.54","-","15.97","1e-8","0","bin173.log"
"Dec 02 2011","2455897.999988426","344520001","56.69","4.09e-8","1.25e-8","-1.54","-","17.13","1e-8","0","bin174.log"
"Dec 09 2011","2455904.999988426","345124801","29.98","3.40e-8","1.27e-8","-1.54","-","20.80","1e-8","0","bin175.log"
"Dec 16 2011","2455911.999988426","345729601","45.18","4.44e-8","1.53e-8","-1.54","-","26.06","1e-8","0","bin176.log"
"Dec 23 2011","2455918.999988426","346334401","54.74","4.24e-8","1.42e-8","-1.54","-","32.24","1e-8","0","bin177.log"
"Dec 30 2011","2455925.999988426","346939201","128.56","6.75e-8","1.51e-8","-1.54","-","38.96","1e-8","0","bin178.log"
"Jan 06 2012","2455932.999988426","347544001","57.38","2.93e-8","1.01e-8","-1.54","-","45.98","1e-8","0","bin179.log"
"Jan 13 2012","2455939.999988426","348148801","43.92","3.60e-8","1.12e-8","-1.54","-","53.18","1e-8","0","bin180.log"
"Jan 20 2012","2455946.999988426","348753601","61","4.82e-8","1.28e-8","-1.54","-","60.47","1e-8","0","bin181.log"
"Jan 27 2012","2455953.999988426","349358401","40.54","3.90e-8","1.27e-8","-1.54","-","67.77","1e-8","0","bin182.log"
"Feb 03 2012","2455960.999988426","349963201","54.25","4.59e-8","1.36e-8","-1.54","-","75.04","1e-8","0","bin183.log"
"Feb 10 2012","2455967.999988426","350568001","38.11","3.23e-8","1.11e-8","-1.54","-","82.25","1e-8","0","bin184.log"
"Feb 17 2012","2455974.999988426","351172801","31.52","3.08e-8","1.19e-8","-1.54","-","89.37","1e-8","0","bin185.log"
"Feb 24 2012","2455981.999988426","351777601","36.26","3.96e-8","1.26e-8","-1.54","-","96.39","1e-8","0","bin186.log"
"Mar 02 2012","2455988.999988426","352382401","77.59","3.98e-8","1.11e-8","-1.54","-","103.31","1e-8","0","bin187.log"
"Mar 09 2012","2455995.999988426","352987201","68.12","4.98e-8","1.37e-8","-1.54","-","110.14","1e-8","0","bin188.log"
"Mar 16 2012","2456002.999988426","353592001","60.5","4.56e-8","1.34e-8","-1.54","-","116.87","1e-8","0","bin189.log"
"Mar 23 2012","2456009.999988426","354196801","29.35","3.07e-8","1.18e-8","-1.54","-","123.53","1e-8","0","bin190.log"
"Mar 30 2012","2456016.999988426","354801601","99.77","5.48e-8","1.46e-8","-1.54","-","130.14","1e-8","0","bin191.log"
"Apr 06 2012","2456023.999988426","355406401","40.98","4.10e-8","1.31e-8","-1.54","-","136.70","1e-8","0","bin192.log"
"Apr 13 2012","2456030.999988426","356011201","84.72","4.86e-8","1.34e-8","-1.54","-","143.23","1e-8","0","bin193.log"
"Apr 20 2012","2456037.999988426","356616001","75.77","5.37e-8","1.46e-8","-1.54","-","149.75","1e-8","0","bin194.log"
"Apr 27 2012","2456044.999988426","357220801","73.21","5.22e-8","1.43e-8","-1.54","-","156.27","1e-8","0","bin195.log"
"May 04 2012","2456051.999988426","357825601","67.12","4.40e-8","1.29e-8","-1.54","-","162.75","1e-8","0","bin196.log"
"May 11 2012","2456058.999988426","358430401","107.98","5.59e-8","1.49e-8","-1.54","-","169.07","1e-8","0","bin197.log"
"May 18 2012","2456065.999988426","359035201","45.33","4.34e-8","1.46e-8","-1.54","-","174.38","1e-8","0","bin198.log"
"May 25 2012","2456072.999988426","359640001","109.83","6.23e-8","1.54e-8","-1.54","-","173.88","1e-8","0","bin199.log"
"Jun 01 2012","2456079.999988426","360244801","78.26","6.53e-8","1.72e-8","-1.54","-","168.14","1e-8","0","bin200.log"
"Jun 08 2012","2456086.999988426","360849601","100.55","6.00e-8","1.52e-8","-1.54","-","161.43","1e-8","0","bin201.log"
"Jun 15 2012","2456093.999988426","361454401","28.41","1.71e-8","8.75e-9","-1.54","-","154.46","1e-8","0","bin202.log"
"Jun 22 2012","2456100.999988426","362059201","59.27","3.83e-8","1.21e-8","-1.54","-","147.37","1e-8","0","bin203.log"
"Jun 29 2012","2456107.999988426","362664001","121.1","5.32e-8","1.41e-8","-1.54","-","140.22","1e-8","0","bin204.log"
"Jul 06 2012","2456114.999976852","363268801","46.88","5.28e-8","1.84e-8","-1.54","-","133.07","1e-8","0","bin205.log"
"Jul 13 2012","2456121.999976852","363873601","68.48","5.40e-8","1.61e-8","-1.54","-","125.95","1e-8","0","bin206.log"
"Jul 20 2012","2456128.999976852","364478401","99.45","5.35e-8","1.48e-8","-1.54","-","118.89","1e-8","0","bin207.log"
"Jul 27 2012","2456135.999976852","365083201","111.62","6.51e-8","1.66e-8","-1.54","-","111.91","1e-8","0","bin208.log"
"Aug 03 2012","2456142.999976852","365688001","100.65","5.07e-8","1.35e-8","-1.54","-","105.04","1e-8","0","bin209.log"
"Aug 10 2012","2456149.999976852","366292801","114.19","6.59e-8","1.52e-8","-1.54","-","98.30","1e-8","0","bin210.log"
"Aug 17 2012","2456156.999976852","366897601","67.71","4.78e-8","1.39e-8","-1.54","-","91.68","1e-8","0","bin211.log"
